City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2021-09-19 03:05:05,70.6333,147.9167,36.07,52,79,8.01
1,Punta Arenas,CL,2021-09-19 03:05:06,-53.15,-70.9167,35.71,87,0,9.22
2,Tuktoyaktuk,CA,2021-09-19 03:03:15,69.4541,-133.0374,42.8,100,90,3.44
3,East London,ZA,2021-09-19 03:05:06,-33.0153,27.9116,59.88,77,72,23.91
4,Te Anau,NZ,2021-09-19 03:05:06,-45.4167,167.7167,44.69,93,100,3.13
5,Tevaitoa,PF,2021-09-19 03:01:16,-16.7833,-151.5,77.85,77,20,19.77
6,Yar-Sale,RU,2021-09-19 03:05:07,66.8333,70.8333,34.88,100,100,17.36
7,Cherskiy,RU,2021-09-19 03:05:07,68.75,161.3,35.04,55,21,13.8
8,Cordoba,AR,2021-09-19 03:05:07,-31.4135,-64.1811,61.59,82,0,6.91
9,Bluff,NZ,2021-09-19 03:05:07,-46.6,168.3333,52.81,69,100,10.8
10,Albany,US,2021-09-19 03:00:19,42.6001,-73.9662,66.81,78,68,4.43
11,Sisimiut,GL,2021-09-19 03:05:08,66.9395,-53.6735,31.66,52,99,8.16
12,Sitka,US,2021-09-19 03:05:08,57.0531,-135.33,53.49,82,90,0.0
13,Mataura,NZ,2021-09-19 03:05:08,-46.1927,168.8643,52.48,60,100,1.7
14,Miraflores,MX,2021-09-19 03:05:09,19.2167,-98.8083,59.65,95,100,4.12
15,Qaanaaq,GL,2021-09-19 03:05:09,77.484,-69.3632,12.99,75,100,6.69
16,Noyabrsk,RU,2021-09-19 03:05:09,63.1994,75.4507,32.85,99,100,17.07
17,La Plata,AR,2021-09-19 03:05:09,-34.9215,-57.9545,60.57,96,0,8.12
18,Rikitea,PF,2021-09-19 03:05:10,-23.1203,-134.9692,72.5,77,17,4.83
19,Port Alfred,ZA,2021-09-19 03:05:12,-33.5906,26.891,59.65,77,84,28.97
20,Tiksi,RU,2021-09-19 03:05:13,71.6872,128.8694,34.38,74,100,18.21
21,Hobart,AU,2021-09-19 03:02:57,-42.8794,147.3294,62.06,57,40,7.0
22,Mocuba,MZ,2021-09-19 03:05:13,-16.8392,36.9856,67.06,83,85,4.74
23,Linguere,SN,2021-09-19 03:05:14,15.3953,-15.1193,79.77,83,98,8.99
24,Castro,BR,2021-09-19 03:01:26,-24.7911,-50.0119,63.28,88,40,2.44
25,Richards Bay,ZA,2021-09-19 03:05:14,-28.783,32.0377,57.72,76,0,11.01
26,Belaya Gora,RU,2021-09-19 03:05:14,68.5333,146.4167,32.99,67,100,15.73
27,Airai,TL,2021-09-19 03:05:14,-8.9266,125.4092,77.13,38,19,5.82
28,Bambous Virieux,MU,2021-09-19 03:05:15,-20.3428,57.7575,70.21,81,41,14.94
29,Port Jervis,US,2021-09-19 03:05:15,41.3751,-74.6927,72.18,66,14,8.25
30,Oranjemund,NA,2021-09-19 03:05:15,-28.55,16.4333,53.38,90,27,10.67
31,Bredasdorp,ZA,2021-09-19 03:05:15,-34.5322,20.0403,47.28,94,1,7.74
32,New Norfolk,AU,2021-09-19 03:05:16,-42.7826,147.0587,63.9,66,84,5.99
33,Busselton,AU,2021-09-19 03:05:16,-33.65,115.3333,59.04,80,65,12.73
34,Jamestown,US,2021-09-19 03:00:26,42.097,-79.2353,60.85,94,10,1.01
35,Hithadhoo,MV,2021-09-19 03:05:17,-0.6,73.0833,83.26,72,68,6.67
36,Ilulissat,GL,2021-09-19 03:05:19,69.2167,-51.1,21.22,63,1,2.3
37,Chuy,UY,2021-09-19 03:05:20,-33.6971,-53.4616,57.25,98,23,5.61
38,Portland,US,2021-09-19 03:04:02,45.5234,-122.6762,59.5,89,75,1.01
39,Tasiilaq,GL,2021-09-19 03:05:20,65.6145,-37.6368,35.76,66,100,4.99
40,Lebu,CL,2021-09-19 03:05:20,-37.6167,-73.65,47.44,80,4,10.16
41,Longyearbyen,SJ,2021-09-19 03:00:52,78.2186,15.6401,49.84,71,75,12.66
42,Lima,PE,2021-09-19 03:03:03,-12.0432,-77.0282,58.14,86,68,7.4
43,Dong Hoi,VN,2021-09-19 03:05:21,17.4833,106.6,84.4,74,23,5.01
44,Astoria,US,2021-09-19 03:00:44,46.1879,-123.8313,57.97,93,90,1.99
45,Geraldton,AU,2021-09-19 03:05:21,-28.7667,114.6,72.01,40,5,13.8
46,Bourail,NC,2021-09-19 03:05:21,-21.5667,165.4833,75.63,46,0,7.54
47,Tuatapere,NZ,2021-09-19 03:05:22,-46.1333,167.6833,52.83,70,100,6.73
48,Ponta Delgada,PT,2021-09-19 03:00:51,37.7333,-25.6667,66.92,72,20,5.75
49,Dikson,RU,2021-09-19 03:05:22,73.5069,80.5464,34.39,74,12,25.37
50,Jalu,LY,2021-09-19 03:05:22,29.0331,21.5482,75.92,40,0,7.4
51,Honningsvag,NO,2021-09-19 03:03:09,70.9821,25.9704,43.32,77,44,21.81
52,Kudahuvadhoo,MV,2021-09-19 03:05:23,2.6708,72.8944,82.51,75,99,7.25
53,Waingapu,ID,2021-09-19 03:05:23,-9.6567,120.2641,88.07,50,22,16.11
54,Manises,ES,2021-09-19 03:05:23,39.4914,-0.4635,72.46,72,20,5.75
55,Kapaa,US,2021-09-19 03:05:24,22.0752,-159.319,84.18,67,40,5.01
56,Kawalu,ID,2021-09-19 03:05:24,-7.3817,108.2082,81.7,69,56,5.68
57,Coahuayana,MX,2021-09-19 03:05:24,18.7333,-103.6833,77.41,92,100,2.51
